sample,0,1,2,3,4,5,6,7,8,9,0:0,0:1,0:2,0:3,1:0,1:1,1:2,1:3,2:0,2:1,3:0,3:1,3:2,target
1,0.1506849315068493,0.0334198041552735,0.6666666666666666,0.5,0.9492753623188406,0.8833333333333333,0.1225,0.1250885896527285,0.0315802680247579,0.0642123287671233,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2410776281072073
2,0.2020547945205479,0.0387950174110168,0.5555555555555556,0.875,0.7536231884057971,0.4333333333333333,0.0648032885674931,0.1732813607370659,0.0315802680247579,0.1215753424657534,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2035828357172615
3,0.160958904109589,0.0465072799083876,0.6666666666666666,0.5,0.9347826086956522,0.8666666666666667,0.10125,0.0861091424521615,0.0315802680247579,0.1857876712328767,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2619080683238439
4,0.1335616438356164,0.0385613124868541,0.6666666666666666,0.5,0.3115942028985507,0.3333333333333333,0.0648032885674931,0.0382707299787384,0.0315802680247579,0.2311643835616438,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1459519511179003
5,0.2157534246575342,0.0605763163429853,0.7777777777777778,0.5,0.927536231884058,0.8333333333333334,0.21875,0.1160524450744153,0.0315802680247579,0.2097602739726027,0,0,1,0,1,0,0,0,1,0,0,1,0,0.2987085127065685
6,0.2191780821917808,0.0598985720629133,0.4444444444444444,0.5,0.8768115942028986,0.75,0.0648032885674931,0.1296952515946137,0.0315802680247579,0.0273972602739726,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1501180391612276
7,0.184931506849315,0.0410572810769122,0.7777777777777778,0.5,0.9565217391304348,0.9166666666666666,0.11625,0.2425584691708008,0.0315802680247579,0.1357020547945205,0,0,0,1,1,0,0,0,1,0,0,1,0,0.3778641855297875
8,0.1679793094795433,0.0424501624249222,0.6666666666666666,0.625,0.7318840579710145,0.3833333333333333,0.15,0.1521970233876683,0.0217096336499321,0.0924657534246575,0,0,0,1,1,0,0,0,1,0,0,1,0,0.2292737119844466
9,0.1027397260273972,0.0225291546892893,0.6666666666666666,0.5,0.427536231884058,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.4075342465753425,0,1,0,0,0,1,0,0,1,0,0,1,0,0.1319261213720316
10,0.0993150684931506,0.0286054827175208,0.4444444444444444,0.625,0.4855072463768116,0.0,0.0648032885674931,0.1507795889440113,0.0315802680247579,0.059931506849315,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1154006388001666
11,0.1678082191780822,0.0462735749842249,0.4444444444444444,0.5,0.6739130434782609,0.25,0.0648032885674931,0.160524450744153,0.0315802680247579,0.0573630136986301,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1313706429662547
12,0.2191780821917808,0.0496576222861015,0.8888888888888888,0.5,0.9637681159420288,0.9333333333333332,0.17875,0.1768249468462083,0.0315802680247579,0.0757705479452054,0,0,0,1,1,0,0,0,1,0,0,1,0,0.4306346340786002
13,0.1679793094795433,0.0545373811026198,0.4444444444444444,0.625,0.6521739130434783,0.2,0.0648032885674931,0.1305811481218993,0.0315802680247579,0.0749143835616438,0,1,0,0,1,0,0,0,1,0,0,1,0,0.15150673517567
14,0.2397260273972602,0.0437121690154011,0.6666666666666666,0.5,0.9710144927536232,0.95,0.19125,0.0786037785307224,0.0315802680247579,0.639554794520548,0,0,0,1,1,0,0,0,1,0,0,1,0,0.3396750451326205
16,0.1027397260273972,0.0225291546892893,0.6666666666666666,0.875,0.4130434782608695,0.85,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.3561643835616438,0,1,0,0,0,1,0,0,1,0,0,1,0,0.1348423830023608
17,0.1679793094795433,0.0464652130220383,0.5555555555555556,0.75,0.7101449275362319,0.3333333333333333,0.1125,0.1024096385542168,0.0315802680247579,0.1823630136986301,0,0,1,0,1,0,0,0,1,0,0,1,0,0.1584502152478822
