sample,1,2,1:1,1:2,1:3,1:4,1:5,2:1,2:2,2:3,2:4,2:5,target
1,0.6666666666666666,0.8833333333333333,0,0,0,1,0,1,0,0,0,0,0.2410776281072073
2,0.5555555555555556,0.4333333333333333,0,0,0,0,0,0,0,0,0,0,0.2035828357172615
3,0.6666666666666666,0.8666666666666667,0,0,0,1,0,0,0,0,0,0,0.2619080683238439
4,0.6666666666666666,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0.1459519511179003
5,0.7777777777777778,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0.2987085127065685
6,0.4444444444444444,0.75,0,0,0,0,1,1,0,0,0,0,0.1501180391612276
7,0.7777777777777778,0.9166666666666666,0,0,0,1,0,0,0,1,0,0,0.3778641855297875
8,0.6666666666666666,0.3833333333333333,0,0,0,0,0,0,0,0,0,0,0.2292737119844466
9,0.6666666666666666,0.0,0,1,0,0,0,0,0,0,0,0,0.1319261213720316
10,0.4444444444444444,0.0,0,1,0,0,0,0,0,0,0,0,0.1154006388001666
11,0.4444444444444444,0.25,0,0,0,0,0,1,0,0,0,0,0.1313706429662547
12,0.8888888888888888,0.9333333333333332,0,0,0,1,0,0,0,1,0,0,0.4306346340786002
13,0.4444444444444444,0.2,0,0,0,0,0,1,0,0,0,0,0.15150673517567
14,0.6666666666666666,0.95,0,0,0,1,0,0,0,1,0,0,0.3396750451326205
15,0.5555555555555556,0.1666666666666666,0,0,0,0,0,0,1,0,0,0,0.1695597833634217
16,0.6666666666666666,0.85,0,1,0,0,0,1,0,0,0,0,0.1348423830023608
17,0.5555555555555556,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.1584502152478822
18,0.3333333333333333,0.2833333333333333,0,0,1,0,0,1,0,0,0,0,0.0765171503957783
19,0.4444444444444444,0.9,0,0,0,1,0,1,0,0,0,0,0.1723371753923066
20,0.4444444444444444,0.25,0,0,0,0,0,1,0,0,0,0,0.1445632551034578
