sample,3,6,18,12:1,12:2,12:3,12:4,12:5,11:1,11:2,11:3,11:4,11:5,20:1,20:2,20:3,20:4
1,0.6666666666666666,0.8833333333333333,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2,0.5555555555555556,0.4333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0.6666666666666666,0.8666666666666667,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,1,0
5,0.7777777777777778,0.8333333333333334,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0.4444444444444444,0.75,0.3333333333333333,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7,0.7777777777777778,0.9166666666666666,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
8,0.6666666666666666,0.3833333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0.6666666666666666,0.0,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10,0.4444444444444444,0.0,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11,0.4444444444444444,0.25,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,0.8888888888888888,0.9333333333333332,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
13,0.4444444444444444,0.2,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0.6666666666666666,0.95,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
15,0.5555555555555556,0.1666666666666666,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0.6666666666666666,0.85,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,1
17,0.5555555555555556,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0.3333333333333333,0.2833333333333333,0.6666666666666666,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19,0.4444444444444444,0.9,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,0,1
20,0.4444444444444444,0.25,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0.7777777777777778,0.9333333333333332,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
22,0.6666666666666666,0.0,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0,1
23,0.7777777777777778,0.8666666666666667,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
24,0.4444444444444444,0.4333333333333333,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,0.4444444444444444,0.85,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0.7777777777777778,0.95,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
27,0.4444444444444444,0.8333333333333334,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,0.7777777777777778,0.9666666666666668,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
29,0.4444444444444444,0.7833333333333333,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0.3333333333333333,0.0,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,1,0,0
31,0.3333333333333333,0.0,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32,0.4444444444444444,0.9333333333333332,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,0.7777777777777778,0.95,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,1
34,0.4444444444444444,0.15,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,0.8888888888888888,0.9166666666666666,0.6666666666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,1
36,0.7777777777777778,0.9166666666666666,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
37,0.4444444444444444,0.75,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,0,0,0,1
38,0.4444444444444444,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,0.4444444444444444,0.95,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
