sample,1,2,3,4,5,1:1,1:2,1:3,target
1,0.1506849315068490,0.0334198041552735,0.6666666666666670,0.5,0.9492753623188410,0,0,0,0.2410776281072070
2,0.2020547945205480,0.0387950174110168,0.5555555555555560,0.875,0.7536231884057970,0,0,0,0.2035828357172620
3,0.160958904109589,0.0465072799083876,0.6666666666666670,0.5,0.9347826086956520,1,0,0,0.2619080683238440
4,0.1335616438356160,0.0385613124868541,0.6666666666666670,0.5,0.3115942028985510,1,0,0,0.1459519511179000
5,0.2157534246575340,0.0605763163429853,0.7777777777777780,0.5,0.927536231884058,1,0,0,0.2987085127065690
6,0.2191780821917810,0.0598985720629133,0.4444444444444440,0.5,0.8768115942028990,1,0,0,0.1501180391612280
7,0.184931506849315,0.0410572810769122,0.7777777777777780,0.5,0.9565217391304350,0,0,0,0.3778641855297880
8,0.1679793094795430,0.0424501624249222,0.6666666666666670,0.625,0.7318840579710150,1,0,0,0.2292737119844470
9,0.1027397260273970,0.0225291546892893,0.6666666666666670,0.5,0.427536231884058,0,0,0,0.1319261213720320
10,0.0993150684931506,0.0286054827175208,0.4444444444444440,0.625,0.4855072463768120,0,0,0,0.1154006388001670
11,0.1678082191780820,0.0462735749842249,0.4444444444444440,0.5,0.6739130434782610,0,0,0,0.1313706429662550
12,0.2191780821917810,0.0496576222861015,0.8888888888888890,0.5,0.9637681159420290,1,0,0,0.4306346340786000
13,0.1679793094795430,0.0545373811026198,0.4444444444444440,0.625,0.6521739130434780,0,1,0,0.15150673517567
14,0.2397260273972600,0.0437121690154011,0.6666666666666670,0.5,0.9710144927536230,1,0,0,0.3396750451326210
15,0.1679793094795430,0.0449648274089135,0.5555555555555560,0.5,0.6376811594202900,1,0,0,0.1695597833634220
16,0.1027397260273970,0.0225291546892893,0.6666666666666670,0.875,0.4130434782608700,0,0,0,0.1348423830023610
17,0.1679793094795430,0.0464652130220383,0.5555555555555560,0.75,0.7101449275362320,1,0,0,0.1584502152478820
18,0.1746575342465750,0.0443618687045736,0.3333333333333330,0.5,0.6884057971014490,0,0,0,0.0765171503957783
19,0.1541095890410960,0.0579354506999462,0.4444444444444440,0.5,0.9565217391304350,0,0,0,0.1723371753923070
20,0.1678082191780820,0.0292598565051765,0.4444444444444440,0.625,0.6231884057971010,0,0,0,0.1445632551034580
21,0.273972602739726,0.0603659819112388,0.7777777777777780,0.5,0.9637681159420290,1,0,0,0.4032773225940840
22,0.1232876712328770,0.0287410315735352,0.6666666666666670,0.75,0.4202898550724640,0,0,0,0.1451187335092350
23,0.184931506849315,0.039458739395639,0.7777777777777780,0.5,0.9420289855072470,0,0,0,0.2709345924177200
24,0.0787671232876712,0.0136670639650377,0.4444444444444440,0.75,0.7536231884057970,0,0,0,0.1319261213720320
25,0.1679793094795430,0.0324662880646895,0.4444444444444440,0.875,0.6956521739130440,1,0,0,0.1653936953200940
26,0.3047945205479450,0.0604360933884877,0.7777777777777780,0.5,0.9782608695652170,0,0,0,0.3074572975975560
27,0.1335616438356160,0.0275771810512047,0.4444444444444440,0.75,0.572463768115942,0,0,0,0.1387307318428000
28,0.2636986301369860,0.0475729743625698,0.7777777777777780,0.5,0.9782608695652170,0,0,0,0.3764754895153450
29,0.0890410958904109,0.0702096333169739,0.4444444444444440,0.625,0.6159420289855070,1,0,0,0.2396889320927650
30,0.1335616438356160,0.0234826707798733,0.3333333333333330,0.625,0.3985507246376810,1,0,0,0.0466601860852659
31,0.0993150684931506,0.0336535090794363,0.3333333333333330,0.375,0.3478260869565220,0,0,0,0.0070823496736564
32,0.1679793094795430,0.0338591694126995,0.4444444444444440,0.625,0.6811594202898550,1,0,0,0.158936258852937
33,0.2191780821917810,0.0455677861132534,0.7777777777777780,0.5,0.9782608695652170,0,0,0,0.2013609220941540
34,0.1678082191780820,0.0432447591670756,0.4444444444444440,0.5,0.6304347826086960,1,0,0,0.1813636994861820
35,0.1335616438356160,0.0281053541798125,0.8888888888888890,0.5,0.9637681159420290,0,0,0,0.3368976531037360
36,0.2979452054794520,0.0566407254200846,0.7777777777777780,0.5,0.9565217391304350,0,0,0,0.3806415775586720
37,0.3116438356164380,0.0446797074014349,0.4444444444444440,0.5,0.8840579710144930,0,0,0,0.1528954311901120
38,0.1815068493150690,0.0338030802309004,0.4444444444444440,0.625,0.5942028985507250,0,0,0,0.164004999305652
39,0.160958904109589,0.0309518801561148,0.4444444444444440,0.75,0.5869565217391310,0,0,0,0.1029023746701850
40,0.1506849315068490,0.0221552268106289,0.3333333333333330,0.5,0.6014492753623190,0,0,0,0.0654075822802388
41,0.2157534246575340,0.0343920166397906,0.5555555555555560,0.5,0.6739130434782610,0,0,0,0.173725871406749
42,0.3219178082191780,0.0729393068311949,0.4444444444444440,0.625,0.6304347826086960,0,0,0,0.1876128315511730
43,0.1679793094795430,0.0368318960480497,0.4444444444444440,0.75,0.8043478260869570,1,0,0,0.15150673517567
44,0.1679793094795430,0.0369253780177148,0.4444444444444440,0.625,0.7463768115942030,1,0,0,0.1324121649770870
45,0.1678082191780820,0.0310593844212297,0.4444444444444440,0.625,0.6304347826086960,0,0,0,0.1473406471323430
46,0.136986301369863,0.0297179181565355,0.8888888888888890,0.5,0.9637681159420290,0,0,0,0.3957783641160950
47,0.0924657534246575,0.0538549627240646,0.6666666666666670,0.5,0.9492753623188410,1,0,0,0.2843855020136090
48,0.2157534246575340,0.0457874687419663,0.7777777777777780,0.5,0.9710144927536230,0,0,0,0.2982919039022360
49,0.0410958904109589,0.0147514548131529,0.3333333333333330,0.5,0.3478260869565220,0,0,0,0.1084571587279540
50,0.1541095890410960,0.0301105424291289,0.4444444444444440,0.75,0.6811594202898550,0,0,0,0.1278989029301490
51,0.1679793094795430,0.0587487438360326,0.5555555555555560,0.625,0.9057971014492750,0,1,0,0.1973337036522710
52,0.1061643835616440,0.0230900465072799,0.5555555555555560,0.625,0.4492753623188410,0,0,0,0.1105402027496180
53,0.3047945205479450,0.0335226343219051,0.4444444444444440,0.5,0.6594202898550730,0,1,0,0.1042910706846270
54,0.160958904109589,0.2288952768234830,0.8888888888888890,0.5,0.7898550724637680,1,0,0,0.4861824746562980
55,0.1335616438356160,0.0272686905513099,0.4444444444444440,0.5,0.6014492753623190,0,0,0,0.1320649909734760
56,0.2705479452054800,0.0414826240388885,0.5555555555555560,0.5,0.6666666666666670,1,0,0,0.202194139702819
57,0.0102739726027397,0.006286662459978,0.7777777777777780,0.5,0.9202898550724640,0,0,0,0.1910845715872800
58,0.2328767123287670,0.0483535488092734,0.6666666666666670,0.5,0.9565217391304350,1,0,0,0.224413275933898
59,0.1541095890410960,0.0578746874196639,1.0,0.5,0.9710144927536230,0,1,0,0.560866546313012
60,0.1335616438356160,0.0275771810512047,0.4444444444444440,0.75,0.7246376811594200,0,0,0,0.1249826412998190
61,0.1438356164383560,0.0550234873448783,0.5555555555555560,0.5,0.9565217391304350,0,0,0,0.1709484793778640
62,0.1335616438356160,0.0275771810512047,0.4444444444444440,0.75,0.3478260869565220,0,0,0,0.0917928065546451
63,0.0787671232876712,0.0240342144008974,0.7777777777777780,0.5,0.9710144927536230,1,0,0,0.2327454520205530
64,0.0993150684931506,0.0420668863492953,0.6666666666666670,0.625,0.3550724637681160,1,0,0,0.1459519511179000
65,0.1679793094795430,0.0377433452522844,0.6666666666666670,0.5,0.9057971014492750,0,0,0,0.2563532842660740
66,0.1883561643835620,0.0387529505246675,0.7777777777777780,0.5,0.9565217391304350,0,0,0,0.3917511456742120
67,0.1679793094795430,0.0869382317885437,0.6666666666666670,0.5,0.7101449275362320,0,0,0,0.2014997916955980
68,0.1746575342465750,0.0437729322956834,0.6666666666666670,0.5,0.9492753623188410,1,0,0,0.26537980835995
69,0.0890410958904109,0.0154619177826076,0.3333333333333330,0.625,0.5289855072463770,0,0,0,0.0626301902513539
70,0.2054794520547950,0.0668068896211643,0.6666666666666670,0.375,0.5869565217391310,0,0,0,0.2639911123455080
71,0.2534246575342470,0.057729790366683,0.6666666666666670,0.625,0.7318840579710150,1,0,0,0.2903763366199140
72,0.1643835616438360,0.0294421463460235,0.3333333333333330,0.625,0.7971014492753620,0,0,0,0.1313706429662550
73,0.1815068493150690,0.0413237046904578,0.6666666666666670,0.5,0.9130434782608700,1,0,0,0.20844327176781
74,0.2191780821917810,0.0415994765009698,0.4444444444444440,0.75,0.5942028985507250,0,0,0,0.1527565615886680
75,0.1335616438356160,0.0209867021898151,0.2222222222222220,0.625,0.3115942028985510,0,0,0,0.1006804610470770
76,0.0,0.0013835331510434,0.3333333333333330,0.5,0.7318840579710150,0,0,0,0.0779058464102208
77,0.1679793094795430,0.0335366566173549,0.3333333333333330,0.75,0.6086956521739130,1,0,0,0.1400499930565200
78,0.0993150684931506,0.0342845123746757,0.4444444444444440,0.5,0.5507246376811590,0,0,0,0.1278989029301490
79,0.1746575342465750,0.0443011054242912,0.3333333333333330,0.5,0.6956521739130440,0,0,0,0.1410915150673520
80,0.1335616438356160,0.042721260136951,0.4444444444444440,0.625,0.2753623188405800,0,0,0,0.1042910706846270
81,0.2705479452054800,0.0546869522540839,0.5555555555555560,0.625,0.6956521739130440,0,0,0,0.2202471878905710
82,0.0376712328767123,0.0149571151464161,0.5555555555555560,0.5,0.9130434782608700,0,0,0,0.1646993473128730
83,0.1952054794520550,0.0416275210918694,0.7777777777777780,0.5,0.9782608695652170,0,0,0,0.2917650326343560
84,0.2020547945205480,0.0354857556848722,0.4444444444444440,0.5,0.6376811594202900,1,0,0,0.1272045549229270
85,0.1679793094795430,0.0337937320339339,0.6666666666666670,0.5,0.8913043478260870,1,0,0,0.1855297875295100
86,0.3424657534246580,0.0689850195143611,0.7777777777777780,0.5,0.8623188405797100,0,0,0,0.3125954728509930
87,0.3458904109589040,0.0495968590058192,0.5555555555555560,0.5,0.9637681159420290,0,1,0,0.1931676156089430
88,0.0650684931506849,0.0123910350791091,0.5555555555555560,0.5,0.9927536231884060,0,0,0,0.17997500347174
89,0.2876712328767120,0.0335132861249386,0.2222222222222220,0.125,0.3115942028985510,1,0,0,0.0695736703235661
90,0.1335616438356160,0.0316436467316366,0.3333333333333330,0.5,0.8840579710144930,0,0,0,0.1231773364810440
91,0.1335616438356160,0.0275771810512047,0.3333333333333330,0.5,0.5652173913043480,0,0,0,0.1041522010831830
92,0.2191780821917810,0.0336535090794363,0.4444444444444440,0.25,0.644927536231884,0,0,0,0.0884599361199833
93,0.2020547945205480,0.0563696277080558,0.4444444444444440,0.75,0.3550724637681160,1,0,0,0.1785863074572980
94,0.1335616438356160,0.0275771810512047,0.5555555555555560,0.625,0.2753623188405800,0,0,0,0.1374809054298010
95,0.1643835616438360,0.0375657295099207,0.5555555555555560,0.5,0.9057971014492750,1,0,0,0.2358700180530480
96,0.1679793094795430,0.0395662436607539,0.5555555555555560,0.875,0.8768115942028990,0,1,0,0.20844327176781
97,0.1952054794520550,0.0418986188038982,0.6666666666666670,0.5,0.9202898550724640,1,0,0,0.2487154561866410
98,0.1780821917808220,0.0449695015073967,0.3333333333333330,0.5,0.6739130434782610,0,0,0,0.0831134564643799
99,0.2191780821917810,0.0435859683563532,0.4444444444444440,0.5,0.3478260869565220,0,0,0,0.0667962782946813
100,0.1917808219178080,0.0374862698357054,0.3333333333333330,0.5,0.6304347826086960,1,0,0,0.1306068601583110
101,0.1679793094795430,0.0434831381897216,0.5555555555555560,0.75,0.7608695652173910,1,0,0,0.2362171920566590
102,0.1917808219178080,0.0369534226086143,0.5555555555555560,0.5,0.8188405797101450,0,0,0,0.1987223996667130
103,0.1472602739726030,0.0267264951272523,0.4444444444444440,0.5,0.7753623188405800,0,0,0,0.1167393417580890
104,0.25,0.0425436443945873,0.6666666666666670,0.5,0.9927536231884060,1,0,0,0.2277461463685600
105,0.1679793094795430,0.030185328004861,0.6666666666666670,0.375,0.427536231884058,0,0,0,0.1869184835439520
106,0.184931506849315,0.0377433452522844,0.7777777777777780,0.5,0.9492753623188410,0,0,0,0.2987085127065690
107,0.1335616438356160,0.0444039355909229,0.3333333333333330,0.75,0.0942028985507246,0,0,0,0.0904041105402027
108,0.0993150684931506,0.0219682628712987,0.4444444444444440,0.5,0.5507246376811590,0,0,0,0.1112345507568390
109,0.2191780821917810,0.0336535090794363,0.4444444444444440,0.75,0.3405797101449280,0,0,0,0.1112345507568390
110,0.2876712328767120,0.0488490032484984,0.5555555555555560,0.625,0.7608695652173910,1,0,0,0.2153867518400220
111,0.184931506849315,0.0384444600247727,0.5555555555555560,0.375,0.5942028985507250,0,0,0,0.1416469934731290
112,0.1679793094795430,0.030147935216995,0.6666666666666670,0.5,0.927536231884058,1,0,0,0.2014997916955980
113,0.1917808219178080,0.0405010633574049,0.6666666666666670,0.5,0.9782608695652170,0,0,0,0.484752117761422
114,0.1679793094795430,0.0920797401201243,0.5555555555555560,0.5,0.5869565217391310,0,0,0,0.252881544229968
115,0.136986301369863,0.0278529528617167,0.5555555555555560,0.875,0.5289855072463770,1,0,0,0.3119011248437720
