sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,0:0,0:1,0:2,0:3,1:0,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,1:9,1:10,1:11,1:12,1:13,1:14,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,5:0,5:1,5:2,5:3,5:4,5:5,5:6,5:7,5:8,5:9,5:10,5:11,5:12,5:13,5:14,5:15,5:16,5:17,5:18,5:19,5:20,5:21,5:22,5:23,6:0,6:1,6:2,6:3,7:0,7:1,7:2,7:3,7:4,7:5,7:6,7:7,8:0,8:1,8:2,8:3,8:4,8:5,9:0,9:1,9:2,target
1,0.1506849315068493,0.0334198041552735,0.6666666666666666,0.5,0.9492753623188406,0.8833333333333333,0.1225,0.1250885896527285,0.0315802680247579,0.0642123287671233,0.1400981996726677,0.11977971546581,0.4135593220338983,0.0102176932656384,0.2592313489073097,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.5,0.375,0.3333333333333333,0.5,0.204337899543379,0.9363636363636364,0.5,0.386459802538787,0.1099702690174389,0.1115173674588665,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0909090909090909,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2410776281072073
2,0.2020547945205479,0.0387950174110168,0.5555555555555556,0.875,0.7536231884057971,0.4333333333333333,0.0648032885674931,0.1732813607370659,0.0315802680247579,0.1215753424657534,0.2065466448445171,0.2129417163836622,0.1680350923745397,0.0102176932656384,0.1748304446119065,0.1417808219178082,0.5,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6909090909090909,0.5,0.3244005641748942,0.3477246207701283,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2035828357172615
3,0.160958904109589,0.0465072799083876,0.6666666666666666,0.5,0.9347826086956522,0.8666666666666667,0.10125,0.0861091424521615,0.0315802680247579,0.1857876712328767,0.1505728314238952,0.1344653510784763,0.4193704600484261,0.0102176932656384,0.2735493594574227,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.5,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9181818181818182,0.5,0.4287729196050776,0.1099702690174389,0.0767824497257769,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.7272727272727273,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2619080683238439
4,0.1335616438356164,0.0385613124868541,0.6666666666666666,0.5,0.3115942028985507,0.3333333333333333,0.0648032885674931,0.0382707299787384,0.0315802680247579,0.2311643835616438,0.1237315875613748,0.1438733363928407,0.3661016949152542,0.0102176932656384,0.2605501130369254,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.375,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.8909090909090909,0.75,0.4527503526093089,0.1099702690174389,0.0639853747714808,0.4927536231884058,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0909090909090909,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1459519511179003
5,0.2157534246575342,0.0605763163429853,0.7777777777777778,0.5,0.927536231884058,0.8333333333333334,0.21875,0.1160524450744153,0.0315802680247579,0.2097602739726027,0.1873977086743044,0.1860945387792565,0.5099273607748184,0.0102176932656384,0.3511680482290881,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.9090909090909092,0.75,0.5895627644569816,0.2240373395565927,0.1535648994515539,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,1.0,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2987085127065685
6,0.2191780821917808,0.0598985720629133,0.4444444444444444,0.5,0.8768115942028986,0.75,0.0648032885674931,0.1296952515946137,0.0315802680247579,0.0273972602739726,0.1302782324058919,0.1060119320789352,0.27409200968523,0.0102176932656384,0.1936699321778447,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.5,0.125,0.3333333333333333,0.25,0.204337899543379,0.8454545454545455,0.5,0.3385049365303244,0.0466744457409568,0.0548446069469835,0.0397719376613063,0.6299212598425197,0.0313769977168949,0.0037383524520176,0.0451612903225806,0.8181818181818182,0.75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1501180391612276
7,0.184931506849315,0.0410572810769122,0.7777777777777778,0.5,0.9565217391304348,0.9166666666666666,0.11625,0.2425584691708008,0.0315802680247579,0.1357020547945205,0.2759410801963993,0.3120697567691601,0.1680350923745397,0.0102176932656384,0.2562170308967596,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.9454545454545454,0.5,0.4485190409026798,0.2975495915985998,0.1042047531992687,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.6363636363636364,0.25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3778641855297875
8,0.1679793094795433,0.0424501624249222,0.6666666666666666,0.625,0.7318840579710145,0.3833333333333333,0.15,0.1521970233876683,0.0217096336499321,0.0924657534246575,0.181178396072013,0.1773749426342359,0.4760290556900726,0.0102176932656384,0.3308214016578749,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.5,0.375,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.6636363636363637,0.5,0.3413258110014104,0.2742123687281214,0.3729433272394881,0.4130434782608695,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0225806451612903,0.9090909090909092,0.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2292737119844466
9,0.1027397260273972,0.0225291546892893,0.6666666666666666,0.5,0.427536231884058,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.4075342465753425,0.155810147299509,0.1578705828361633,0.3641646489104116,0.0102176932656384,0.2712886209495102,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.25,0.6666666666666666,0.5,0.6666666666666666,0.2818181818181818,0.5,0.3300423131170663,0.1050175029171528,0.0853021462021988,0.3713768115942029,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.2727272727272727,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1319261213720316
10,0.0993150684931506,0.0286054827175208,0.4444444444444444,0.625,0.4855072463768116,0.0,0.0648032885674931,0.1507795889440113,0.0315802680247579,0.059931506849315,0.1621931260229132,0.1704910509407985,0.1680350923745397,0.0102176932656384,0.1399773926149208,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.25,0.6666666666666666,0.25,0.6666666666666666,0.3545454545454545,0.25,0.1445698166431593,0.1099702690174389,0.0073126142595978,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1154006388001666
