sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,2:1,2:2,2:3,2:4,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,1:9,1:10,1:11,1:12,1:13,1:14,5:1,5:2,5:3,5:4,5:5,5:6,3:1,3:2,3:3,3:4,3:5,4:1,4:2,4:3,7:1,7:2,8:1,8:2,8:3,8:4,6:1,6:2,6:3,6:4,6:5,target
1,0.1506849315068490,0.0334198041552735,0.6666666666666670,0.5,0.9492753623188410,0.8833333333333330,0.1225,0.1250885896527290,0.0315802680247579,0.0642123287671233,0.1400981996726680,0.11977971546581,0.4135593220338980,0.0102176932656384,0.2592313489073100,0.3333333333333330,0.0287671232876712,0.6666666666666670,0.5,0.375,0.3333333333333330,0.5,0.204337899543379,0.9363636363636360,0.5,0.386459802538787,0.1099702690174390,0.1115173674588670,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0909090909090909,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.2410776281072070
2,0.2020547945205480,0.0387950174110168,0.5555555555555560,0.875,0.7536231884057970,0.4333333333333330,0.0648032885674931,0.1732813607370660,0.0315802680247579,0.1215753424657530,0.2065466448445170,0.2129417163836620,0.1680350923745400,0.0102176932656384,0.1748304446119070,0.1417808219178080,0.5,0.6666666666666670,0.1914383561643840,0.375,0.3333333333333330,0.3333333333333330,0.3333333333333330,0.6909090909090910,0.5,0.3244005641748940,0.3477246207701280,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363640,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.2035828357172620
3,0.160958904109589,0.0465072799083876,0.6666666666666670,0.5,0.9347826086956520,0.8666666666666670,0.10125,0.0861091424521615,0.0315802680247579,0.1857876712328770,0.1505728314238950,0.1344653510784760,0.4193704600484260,0.0102176932656384,0.2735493594574230,0.3333333333333330,0.0287671232876712,0.6666666666666670,0.5,0.375,0.3333333333333330,0.3333333333333330,0.3333333333333330,0.9181818181818180,0.5,0.4287729196050780,0.1099702690174390,0.0767824497257769,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.7272727272727270,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.2619080683238440
4,0.1335616438356160,0.0385613124868541,0.6666666666666670,0.5,0.3115942028985510,0.3333333333333330,0.0648032885674931,0.0382707299787384,0.0315802680247579,0.2311643835616440,0.1237315875613750,0.1438733363928410,0.3661016949152540,0.0102176932656384,0.2605501130369250,0.3333333333333330,0.0287671232876712,0.3333333333333330,0.1914383561643840,0.375,0.3333333333333330,0.4166666666666670,0.3333333333333330,0.8909090909090910,0.75,0.4527503526093090,0.1099702690174390,0.0639853747714808,0.4927536231884060,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0909090909090909,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.1459519511179000
5,0.2157534246575340,0.0605763163429853,0.7777777777777780,0.5,0.927536231884058,0.8333333333333330,0.21875,0.1160524450744150,0.0315802680247579,0.2097602739726030,0.1873977086743040,0.1860945387792570,0.5099273607748180,0.0102176932656384,0.3511680482290880,0.3333333333333330,0.0287671232876712,0.6666666666666670,0.5,0.5,0.3333333333333330,0.5833333333333330,0.3333333333333330,0.9090909090909090,0.75,0.5895627644569820,0.2240373395565930,0.1535648994515540,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,1.0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.2987085127065690
6,0.2191780821917810,0.0598985720629133,0.4444444444444440,0.5,0.8768115942028990,0.75,0.0648032885674931,0.1296952515946140,0.0315802680247579,0.0273972602739726,0.1302782324058920,0.1060119320789350,0.27409200968523,0.0102176932656384,0.1936699321778450,0.3333333333333330,0.0287671232876712,0.3333333333333330,0.5,0.125,0.3333333333333330,0.25,0.204337899543379,0.8454545454545460,0.5,0.3385049365303240,0.0466744457409568,0.0548446069469835,0.0397719376613063,0.6299212598425200,0.0313769977168949,0.0037383524520176,0.0451612903225806,0.8181818181818180,0.75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.1501180391612280
7,0.184931506849315,0.0410572810769122,0.7777777777777780,0.5,0.9565217391304350,0.9166666666666670,0.11625,0.2425584691708010,0.0315802680247579,0.1357020547945210,0.2759410801963990,0.3120697567691600,0.1680350923745400,0.0102176932656384,0.2562170308967600,0.3333333333333330,0.0287671232876712,0.6666666666666670,0.1914383561643840,0.375,0.3333333333333330,0.4166666666666670,0.3333333333333330,0.9454545454545450,0.5,0.4485190409026800,0.2975495915986000,0.1042047531992690,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.6363636363636360,0.25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.3778641855297880
8,0.1679793094795430,0.0424501624249222,0.6666666666666670,0.625,0.7318840579710150,0.3833333333333330,0.15,0.1521970233876680,0.0217096336499321,0.0924657534246575,0.181178396072013,0.1773749426342360,0.4760290556900730,0.0102176932656384,0.3308214016578750,0.3333333333333330,0.0287671232876712,0.6666666666666670,0.5,0.375,0.3333333333333330,0.4166666666666670,0.6666666666666670,0.6636363636363640,0.5,0.3413258110014100,0.2742123687281210,0.3729433272394880,0.4130434782608700,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0225806451612903,0.9090909090909090,0.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.2292737119844470
9,0.1027397260273970,0.0225291546892893,0.6666666666666670,0.5,0.427536231884058,0.0,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.4075342465753430,0.155810147299509,0.1578705828361630,0.3641646489104120,0.0102176932656384,0.2712886209495100,0.1417808219178080,0.0287671232876712,0.6666666666666670,0.1914383561643840,0.25,0.6666666666666670,0.5,0.6666666666666670,0.2818181818181820,0.5,0.3300423131170660,0.1050175029171530,0.0853021462021988,0.3713768115942030,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.2727272727272730,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.1319261213720320
10,0.0993150684931506,0.0286054827175208,0.4444444444444440,0.625,0.4855072463768120,0.0,0.0648032885674931,0.1507795889440110,0.0315802680247579,0.059931506849315,0.1621931260229130,0.1704910509407990,0.1680350923745400,0.0102176932656384,0.1399773926149210,0.3333333333333330,0.0287671232876712,0.3333333333333330,0.1914383561643840,0.25,0.6666666666666670,0.25,0.6666666666666670,0.3545454545454550,0.25,0.1445698166431590,0.1099702690174390,0.0073126142595978,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.1154006388001670
