sample,0,1,2,3,4,5,6,7,8,9,0:0,0:1,0:2,0:3,0:4,0:5,0:6,0:7,0:8,0:9,0:10,0:11,0:12,0:13,0:14,1:0,1:1,1:2,1:3,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,5:0,5:1,5:2,5:3,5:4,5:5,5:6,5:7,5:8,5:9,5:10,5:11,5:12,5:13,5:14,5:15,5:16,5:17,5:18,5:19,5:20,5:21,5:22,5:23,6:0,6:1,6:2,6:3,7:0,7:1,7:2,7:3,7:4,7:5,7:6,7:7,8:0,8:1,9:0,9:1,9:2,target
0,0.9925344254220698,0.9974621640668174,0.00030152664929731924,0.9968753485333395,0.0003725454940327531,7.052067875292781e-05,0.0010051340331544366,0.8354981445340309,0.9971826863430027,0.007060762002098076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.2459380641577558
1,0.998500436802161,0.9985623549825325,0.000856180158989542,0.9980258439836697,0.000932087057149558,0.0001238623325049607,0.9964032035048311,0.9985750772754638,0.9982883754643218,0.0012638483106236892,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.2035828357172615
2,0.9987084988437261,0.9919722506253661,0.9998561679841641,0.6240669706042129,0.9998151518880577,0.9999591527878952,0.9996828593573507,0.9991537572913173,0.9751011426368696,0.0010354755598078822,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0667962782946813
3,0.9907812686652674,0.9971736166598264,0.00032164136122158797,0.996540003009001,0.0003979628619450147,7.572038319073064e-05,0.0010521554694405207,0.06253908090126377,0.9968738824243045,0.008904209062739577,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.2407998889043188
4,0.0010931444242398803,0.0011311566402207626,0.9986678879464748,0.0015757765825893325,0.9987336045357766,0.9998685457168807,0.001489496344207183,0.0009997864293523283,0.001358903415523825,0.9990827728184393,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.1917789195945007
5,0.0020034226288262063,0.5983935585385934,0.0001831233118814054,0.9855866831918517,0.00023410531439033372,5.058207879086897e-05,0.000422580996349758,0.001241725883630089,0.980400175611009,0.9984081283075413,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.2903763366199139
6,0.001560465091851458,0.0013866049484107653,0.9994326371894259,0.0018795938296187896,0.9993522347460765,0.9999035463747749,0.020473874591740722,0.0015473607186828847,0.0016374445430507403,0.998678597332031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.173725871406749
7,0.0020174088123748866,0.0015525826763184028,0.9995851535322208,0.0020594483194888427,0.9995081009508321,0.9999186082039454,0.9968792266641895,0.002203673174037262,0.0018084488463778175,0.9982742749072581,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.1591445632551034
8,0.9989597600408475,0.9959592503580258,0.9998666892146516,0.9878263565999654,0.9998279084324275,0.9999612207066413,0.9997166756751571,0.9992943335814622,0.9926839091114615,0.0008385125929430072,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.0570754061935842
9,0.007566387935998606,0.002579015940249118,0.9996932082278552,0.0031758009364467633,0.9996209648661324,0.9999282605031052,0.9989767846305552,0.1529360391975726,0.002863295874974442,0.9928473358017104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.1459519511179003
