sample,0,1,2,3,4,0:0,0:1,0:2,0:3,0:4,0:5,0:6,0:7,0:8,0:9,0:10,0:11,0:12,0:13,0:14,1:0,1:1,1:2,1:3,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,target
0,0.9998223700231743,0.9999369548359885,0.9986466190511728,0.9997881094319504,0.9990597935102422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.1570615192334398
1,0.999924946927319,0.9999674905460968,0.9997874933653278,0.9999117554909109,0.999810542874453,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0834606304679905
2,0.9999280818176731,0.9999686372034856,0.9998002068812606,0.9999154784029517,0.9998213132180603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0779058464102208
3,0.999898367486403,0.9999583559790062,0.9996562583054386,0.9998800586647779,0.9997032153692467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.116789334814609
4,0.9998709738242163,0.9999498226048209,0.9994591822119294,0.9998471639709666,0.9995537582638103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.135536731009582
5,0.00032208773251296894,9.750418866112694e-05,0.9960354102551856,0.0003896249568966622,0.9658354178090666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2096236633800861
6,0.9997833124877926,0.9999280332947872,0.995378543184253,0.9997400798934507,0.9980330553178448,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.1667823913345368
7,5.9509047761225295e-05,2.6644628927732628e-05,0.00015416895115559034,6.982051548486036e-05,0.00013943343325250265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3459241771976114
8,0.00017751437641796164,6.250475991434254e-05,0.0014618060532446795,0.0002118892957294793,0.0009874892743822266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.2396889320927649
9,0.00029609788586052523,9.029718241275125e-05,0.9958092372672176,0.0003579354951723409,0.2800009584198104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.2139980558255798
10,4.2385148643262224e-05,1.919562278884361e-05,8.331767616533702e-05,4.98109222345683e-05,8.274298220835743e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.423691154006388
11,0.0003693858203485216,0.00010228466110862189,0.14132679197341802,0.00045502589965237307,0.07436144897829286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2139980558255798
12,0.00021162520779496177,7.202322779268997e-05,0.0008627737873645302,0.0002547969693885732,0.0008525231313246776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2348284960422163
13,9.230807440256492e-05,3.8630693357124205e-05,0.00020826786038778507,0.00010912813548576135,0.00020668764075753413,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2959311206776837
14,0.00015891345193763331,5.862873979012536e-05,0.0004853245154064659,0.00018987959508995258,0.0004807256677753911,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2514928482155256
